Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Number of rooms,Living area,Equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of good,Number of facades,Swimming pool,State of building
20578853,Zulte,9870,499000.0,HOUSE,HOUSE,sale,4.0,185.0,0,0,0,18.0,,329.0,,0,GOOD
20441524,MORTSEL,2640,565000.0,HOUSE,TOWN_HOUSE,sale,4.0,140.0,1,0,0,,,314.0,2.0,0,GOOD
20548551,Beernem,8730,695000.0,HOUSE,VILLA,sale,4.0,346.0,0,0,0,100.0,950.0,1245.0,4.0,0,AS_NEW
20101989,Knokke-Heist,8300,2150000.0,APARTMENT,PENTHOUSE,sale,2.0,121.0,1,1,0,,,,2.0,0,AS_NEW
20401017,Lier,2500,199900.0,APARTMENT,GROUND_FLOOR,sale,2.0,175.0,1,0,0,,50.0,,2.0,0,GOOD
20593963,DENDERMONDE,9200,339000.0,APARTMENT,APARTMENT,sale,3.0,140.0,1,0,0,8.0,,,2.0,0,JUST_RENOVATED
20636432,Esneux Tilff,4130,195000.0,HOUSE,HOUSE,sale,2.0,151.0,0,0,0,35.0,150.0,333.0,3.0,0,TO_RENOVATE
20572391,Knokke-Zoute,8300,1125000.0,APARTMENT,APARTMENT,sale,3.0,106.0,0,0,0,,,,2.0,0,GOOD
11243506,Flémalle,4400,179000.0,HOUSE,HOUSE,sale,2.0,108.0,1,0,0,21.0,252.0,340.0,3.0,0,GOOD
20648714,Messelbroek,3272,665000.0,HOUSE,VILLA,sale,4.0,333.0,0,0,0,,,1917.0,,0,GOOD
20626498,Mechelen,2811,475000.0,HOUSE,HOUSE,sale,3.0,220.0,1,0,0,40.0,427.0,706.0,3.0,0,TO_BE_DONE_UP
20600887,Knokke,8300,479000.0,APARTMENT,APARTMENT,sale,2.0,92.0,0,0,0,,,,,0,
20653652,Meerbeek,3078,875000.0,HOUSE,COUNTRY_COTTAGE,sale,3.0,245.0,0,0,0,,,2248.0,3.0,0,
20565302,Ixelles,1050,595000.0,HOUSE,HOUSE,sale,4.0,164.0,1,0,0,9.0,,55.0,2.0,0,TO_RENOVATE
20477852,Aalst,9300,217.36,APARTMENT_GROUP,APARTMENT_GROUP,sale,,,0,0,0,,,,,0,
20219718,Woluwe-Saint-Lambert,1200,475000.0,APARTMENT,APARTMENT,sale,3.0,121.0,1,0,0,,,,2.0,0,AS_NEW
20609472,GEEL,2440,95000.0,HOUSE,APARTMENT_BLOCK,sale,0.0,13.0,1,0,0,,,0.0,4.0,0,JUST_RENOVATED
20428896,Blankenberge,8370,167500.0,APARTMENT,GROUND_FLOOR,sale,1.0,55.0,0,0,0,,,,,0,GOOD
20642050,Molenbeek-Saint-Jean,1080,215000.0,APARTMENT,APARTMENT,sale,2.0,120.0,1,0,0,16.0,,,,0,GOOD
20524918,Antwerpen,2018,379000.0,APARTMENT,APARTMENT,sale,2.0,80.0,1,0,0,12.0,,,2.0,0,
20644514,Damme,8340,1149000.0,HOUSE,HOUSE,sale,3.0,258.0,0,0,0,,,362.0,,0,JUST_RENOVATED
20647752,Etterbeek,1040,300000.0,APARTMENT,APARTMENT,sale,1.0,95.0,0,0,0,,,,,0,GOOD
20653549,Deurle,9831,945000.0,APARTMENT,DUPLEX,sale,3.0,240.0,0,0,0,5.0,,,4.0,0,AS_NEW
20617037,Deinze,9800,339000.0,HOUSE,HOUSE,sale,2.0,158.0,1,0,0,,,793.0,,0,TO_BE_DONE_UP
20654063,Bruxelles,1140,220000.0,APARTMENT,APARTMENT,sale,1.0,50.0,1,0,0,10.0,,,2.0,0,GOOD
20656937,Ixelles,1050,159000.0,APARTMENT,FLAT_STUDIO,sale,0.0,37.0,1,0,0,,,,,0,GOOD
20627408,Gentbrugge,9050,219000.0,APARTMENT,APARTMENT,sale,1.0,69.0,1,0,0,,,,,0,GOOD
20640403,Gits,8830,295000.0,HOUSE,HOUSE,sale,3.0,190.0,0,0,0,,,1471.0,,0,
