id,type,subtype,postal_code,locality,price,rooms_cnt,area,immo_url,Type of sale,Kitchen type,Terrace surface,Garden surface,Swimming pool,Furnished,Open fire,Building condition,Number of frontages,Surface of good,Construction year
20660840,apartment,ground-floor,9940,Sleidinge,410000,3.0,146.0,https://www.immoweb.be/en/classified/ground-floor/for-sale/sleidinge/9940/20660840,For sale,Hyper equipped,29.0,,0,0,0,As new,2.0,,2025.0
20660893,apartment,ground-floor,9940,Evergem,410000,3.0,146.0,https://www.immoweb.be/en/classified/ground-floor/for-sale/evergem/9940/20660893,For sale,Hyper equipped,29.0,,0,0,0,As new,2.0,,2025.0
20566295,apartment,apartment,8400,Oostende,248000,2.0,106.0,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20566295,For sale,Installed,6.0,,0,0,0,Just renovated,,,1971.0
20581216,apartment,apartment,2600,BERCHEM,245000,1.0,61.0,https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20581216,For sale,Installed,26.0,,0,0,0,Good,,,1973.0
20497707,apartment,apartment,2000,ANTWERPEN,239000,2.0,72.0,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/20497707,For sale,Semi equipped,,,0,0,0,To be done up,3.0,,1965.0
20660887,apartment,ground-floor,9940,Evergem,360000,2.0,103.0,https://www.immoweb.be/en/classified/ground-floor/for-sale/evergem/9940/20660887,For sale,Hyper equipped,21.0,,0,0,0,As new,2.0,,2025.0
20619816,house,house,8501,BISSEGEM,350000,3.0,204.0,https://www.immoweb.be/en/classified/house/for-sale/bissegem/8501/20619816,For sale,Semi equipped,,,0,0,0,Good,2.0,240.0,1962.0
20641476,apartment,apartment,2018,ANTWERPEN,427500,1.0,81.0,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2018/20641476,For sale,Installed,4.0,,0,0,0,,2.0,,1911.0
20642410,apartment,apartment,9230,WETTEREN,260000,2.0,90.0,https://www.immoweb.be/en/classified/apartment/for-sale/wetteren/9230/20642410,For sale,Installed,5.0,,0,0,0,,,,2007.0
20660885,apartment,ground-floor,9940,Sleidinge,360000,2.0,103.0,https://www.immoweb.be/en/classified/ground-floor/for-sale/sleidinge/9940/20660885,For sale,Hyper equipped,36.0,,0,0,0,As new,2.0,,2025.0
20619673,house,house,9170,SINT-GILLIS-WAAS,259000,2.0,111.0,https://www.immoweb.be/en/classified/house/for-sale/sint-gillis-waas/9170/20619673,For sale,Installed,25.0,,0,0,0,Good,2.0,121.0,1932.0
20660889,apartment,ground-floor,9940,Evergem,360000,2.0,103.0,https://www.immoweb.be/en/classified/ground-floor/for-sale/evergem/9940/20660889,For sale,Hyper equipped,36.0,,0,0,0,As new,2.0,,2025.0
20525596,house,house,9260,Wichelen,259000,3.0,116.0,https://www.immoweb.be/en/classified/house/for-sale/wichelen/9260/20525596,For sale,Hyper equipped,,,0,0,0,Good,2.0,229.0,1930.0
20636797,house,house,9830,Sint-Martens-Latem,1195000,5.0,247.0,https://www.immoweb.be/en/classified/house/for-sale/sint-martens-latem/9830/20636797,For sale,,,,0,0,0,To renovate,,2016.0,1952.0
20640805,apartment,apartment,4460,HOLLOGNE-AUX-PIERRES,250000,2.0,124.0,https://www.immoweb.be/en/classified/apartment/for-sale/hollogne-aux-pierres/4460/20640805,For sale,Semi equipped,,,0,0,0,Just renovated,2.0,,
10250928,apartment,apartment,1080,Molenbeek-Saint-Jean,239000,2.0,105.0,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/10250928,For sale,Installed,4.0,,0,0,0,As new,2.0,,1960.0
20640463,apartment,apartment,5300,SCLAYN,225000,1.0,78.0,https://www.immoweb.be/en/classified/apartment/for-sale/sclayn/5300/20640463,For sale,Installed,48.0,,0,0,0,Good,4.0,,2014.0
20642140,apartment,apartment,9230,Wetteren,198000,2.0,81.0,https://www.immoweb.be/en/classified/apartment/for-sale/wetteren/9230/20642140,For sale,,,,0,0,0,As new,,,1964.0
20641574,house,house,6040,Charleroi,167000,2.0,134.0,https://www.immoweb.be/en/classified/house/for-sale/charleroi/6040/20641574,For sale,Installed,14.0,,0,0,0,Good,2.0,93.0,
20641506,apartment,penthouse,1000,Bruxelles,852500,2.0,120.0,https://www.immoweb.be/en/classified/penthouse/for-sale/bruxelles/1000/20641506,For sale,,42.0,,0,1,0,As new,2.0,,2019.0
20641061,apartment,apartment,4040,Herstal,199000,2.0,92.0,https://www.immoweb.be/en/classified/apartment/for-sale/herstal/4040/20641061,For sale,Installed,17.0,600.0,0,0,0,Good,2.0,,2006.0
20637103,house,house,3920,LOMMEL,410000,3.0,267.0,https://www.immoweb.be/en/classified/house/for-sale/lommel/3920/20637103,For sale,,,,0,0,0,Good,3.0,616.0,
20638409,house,house,1200,Woluwe-Saint-Lambert,515000,4.0,155.0,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-lambert/1200/20638409,For sale,,,376.0,0,0,0,To renovate,3.0,437.0,1950.0
20637035,house,house,3540,Herk-de-Stad Schulen,695000,5.0,362.0,https://www.immoweb.be/en/classified/house/for-sale/herk-de-stad-schulen/3540/20637035,For sale,Hyper equipped,,,1,0,0,As new,3.0,4998.0,1930.0
20637549,house,house,6940,GRANDHAN,545000,3.0,151.0,https://www.immoweb.be/en/classified/house/for-sale/grandhan/6940/20637549,For sale,,82.0,660.0,0,0,0,,4.0,800.0,2001.0
20592411,house,villa,3980,Tessenderlo-Ham,749000,4.0,306.0,https://www.immoweb.be/en/classified/villa/for-sale/tessenderlo-ham/3980/20592411,For sale,,16.0,,0,0,0,To renovate,4.0,5146.0,1959.0
20631626,house,house,6700,Arlon,670000,3.0,230.0,https://www.immoweb.be/en/classified/house/for-sale/arlon/6700/20631626,For sale,Installed,,925.0,0,0,0,Good,4.0,1081.0,1993.0
20637107,house,house,2400,MOL,535000,4.0,203.0,https://www.immoweb.be/en/classified/house/for-sale/mol/2400/20637107,For sale,Installed,,,0,0,0,As new,4.0,760.0,2022.0
20636768,house,house,9000,Gent,440000,4.0,198.0,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20636768,For sale,Installed,,,0,0,0,Good,2.0,79.0,1930.0
20637186,house,house,9000,GENT,309000,4.0,148.0,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20637186,For sale,Installed,,,0,0,0,To be done up,2.0,69.0,1929.0
20639250,house,house,8650,Houthulst,229000,4.0,182.0,https://www.immoweb.be/en/classified/house/for-sale/houthulst/8650/20639250,For sale,,,,0,1,0,To renovate,,2165.0,
20637174,house,bungalow,1420,Braine-l'Alleud,410000,3.0,111.0,https://www.immoweb.be/en/classified/bungalow/for-sale/braine-lalleud/1420/20637174,For sale,Not installed,36.0,440.0,0,0,0,To be done up,4.0,643.0,1967.0
20633686,house,house,8550,Zwevegem,355000,4.0,186.0,https://www.immoweb.be/en/classified/house/for-sale/zwevegem/8550/20633686,For sale,Installed,,,0,0,0,Good,,200.0,1944.0
20638818,house,farmhouse,9340,Lede,385000,3.0,210.0,https://www.immoweb.be/en/classified/farmhouse/for-sale/lede/9340/20638818,For sale,,,1519.0,0,0,0,To restore,,2519.0,
20633083,house,house,3020,HERENT,395000,3.0,142.0,https://www.immoweb.be/en/classified/house/for-sale/herent/3020/20633083,For sale,,,,0,0,0,To renovate,,520.0,1962.0
20633397,house,house,9190,STEKENE,179000,3.0,117.0,https://www.immoweb.be/en/classified/house/for-sale/stekene/9190/20633397,For sale,,,,0,0,0,Good,4.0,1058.0,1993.0
20637105,house,house,2400,MOL,375000,4.0,170.0,https://www.immoweb.be/en/classified/house/for-sale/mol/2400/20637105,For sale,Installed,,,0,0,0,As new,2.0,186.0,2006.0
20658104,house,house,6687,BERTOGNE,799000,10.0,930.0,https://www.immoweb.be/en/classified/house/for-sale/bertogne/6687/20658104,For sale,Installed,,,0,0,0,,4.0,1163.0,
