Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Number of rooms,Living area,Equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of good,Number of facades,Swimming pool,State of building,Construction Year
20663713.0,LIÈGE,4000.0,340000.0,HOUSE,MIXED_USE_BUILDING,Regular,4.0,213.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,TO_BE_DONE_UP,0.0
20639886.0,Sint-Niklaas,9100.0,199900.0,HOUSE,HOUSE,Regular,5.0,159.0,0.0,0.0,0.0,0.0,0.0,520.0,2.0,0.0,TO_RENOVATE,0.0
20663706.0,NOORDERWIJK,2200.0,430000.0,HOUSE,HOUSE,Regular,3.0,195.0,1.0,0.0,0.0,21.0,0.0,0.0,3.0,0.0,,0.0
20663704.0,Heusden-Zolder,3550.0,365000.0,HOUSE,HOUSE,Regular,2.0,163.0,0.0,0.0,0.0,8.0,1.0,1163.0,4.0,0.0,AS_NEW,0.0
20663703.0,Sint-Truiden,3800.0,469000.0,HOUSE,HOUSE,Regular,3.0,225.0,1.0,0.0,0.0,17.0,1.0,1329.0,3.0,0.0,AS_NEW,0.0
20497640.0,BORGERHOUT,2140.0,230000.0,HOUSE,HOUSE,Regular,4.0,99.0,1.0,0.0,0.0,0.0,0.0,46.0,2.0,0.0,GOOD,0.0
20663676.0,Oostende,8400.0,380000.0,HOUSE,HOUSE,Regular,4.0,145.0,1.0,0.0,0.0,0.0,0.0,350.0,3.0,0.0,TO_BE_DONE_UP,0.0
20297438.0,Aalst,9308.0,518936.0,HOUSE,HOUSE,Regular,3.0,178.0,0.0,0.0,0.0,0.0,1.0,482.0,4.0,0.0,AS_NEW,0.0
20662107.0,Ninove,9400.0,501513.0,HOUSE,HOUSE,Regular,5.0,232.0,1.0,0.0,0.0,0.0,0.0,273.0,2.0,0.0,AS_NEW,0.0
10464789.0,Herzele,9550.0,460152.0,HOUSE,HOUSE,Regular,3.0,146.0,0.0,0.0,0.0,0.0,1.0,396.0,4.0,0.0,,0.0
20662000.0,GERAARDSBERGEN,9500.0,317500.0,HOUSE,HOUSE,Regular,5.0,175.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,JUST_RENOVATED,0.0
20661899.0,Lede,9340.0,496800.0,HOUSE,HOUSE,Regular,4.0,184.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,AS_NEW,0.0
20661504.0,GERAARDSBERGEN,9500.0,215000.0,HOUSE,HOUSE,Regular,3.0,164.0,1.0,0.0,0.0,0.0,0.0,370.0,,0.0,GOOD,0.0
20661426.0,Meerbeke,9402.0,399000.0,HOUSE,HOUSE,Regular,3.0,160.0,0.0,0.0,0.0,0.0,1.0,1137.0,3.0,0.0,TO_BE_DONE_UP,0.0
20661425.0,Denderhoutem,9450.0,315000.0,HOUSE,HOUSE,Regular,2.0,123.0,1.0,0.0,0.0,0.0,1.0,335.0,2.0,0.0,GOOD,0.0
20661375.0,Herzele,9550.0,287500.0,HOUSE,HOUSE,Regular,3.0,283.0,1.0,0.0,0.0,0.0,0.0,524.0,3.0,0.0,TO_RENOVATE,0.0
20547823.0,Ninove,9400.0,235000.0,HOUSE,HOUSE,Regular,2.0,122.0,1.0,0.0,0.0,0.0,0.0,168.0,2.0,0.0,GOOD,0.0
20660767.0,Geraardsbergen,9500.0,449000.0,HOUSE,HOUSE,Regular,4.0,174.0,1.0,0.0,0.0,72.0,1.0,1234.0,4.0,0.0,GOOD,0.0
20660766.0,Geraardsbergen,9500.0,349000.0,HOUSE,HOUSE,Regular,4.0,174.0,1.0,0.0,0.0,72.0,1.0,585.0,4.0,0.0,GOOD,0.0
20660636.0,Ninove,9400.0,438000.0,HOUSE,HOUSE,Regular,3.0,,1.0,0.0,0.0,1.0,1.0,828.0,4.0,0.0,AS_NEW,0.0
20660584.0,Denderleeuw,9473.0,455000.0,HOUSE,HOUSE,Regular,4.0,224.0,1.0,0.0,0.0,70.0,1.0,600.0,3.0,0.0,JUST_RENOVATED,0.0
20660374.0,Ninove,9400.0,149000.0,HOUSE,HOUSE,Regular,2.0,90.0,0.0,0.0,0.0,0.0,0.0,180.0,2.0,0.0,TO_RENOVATE,0.0
20660371.0,Denderleeuw,9470.0,335000.0,HOUSE,HOUSE,Regular,2.0,112.0,1.0,0.0,0.0,0.0,0.0,253.0,3.0,0.0,GOOD,0.0
20660275.0,Zottegem,9620.0,359000.0,HOUSE,MIXED_USE_BUILDING,Regular,0.0,216.0,1.0,0.0,0.0,0.0,0.0,1190.0,2.0,0.0,TO_RENOVATE,0.0
20660274.0,Zottegem,9620.0,359000.0,HOUSE,APARTMENT_BLOCK,Regular,0.0,216.0,1.0,0.0,0.0,0.0,0.0,1190.0,2.0,0.0,TO_RENOVATE,0.0
20163229.0,Herzele,9550.0,884391.0,HOUSE,HOUSE,Regular,4.0,181.0,1.0,0.0,0.0,0.0,0.0,2036.0,,0.0,GOOD,0.0
20190710.0,Haaltert,9450.0,699117.0,HOUSE,HOUSE,Regular,3.0,162.0,1.0,0.0,0.0,0.0,0.0,749.0,,0.0,GOOD,0.0
20659921.0,Zottegem,9620.0,225000.0,HOUSE,HOUSE,Regular,3.0,124.0,0.0,0.0,0.0,0.0,0.0,430.0,2.0,0.0,TO_RENOVATE,0.0
20659872.0,Meldert (9310),9310.0,450000.0,HOUSE,HOUSE,Regular,3.0,204.0,0.0,0.0,0.0,0.0,0.0,371.0,,0.0,AS_NEW,0.0
20663664.0,Herstal,4040.0,199000.0,HOUSE,HOUSE,Regular,3.0,,1.0,0.0,0.0,39.0,0.0,82.0,2.0,0.0,GOOD,0.0
20663662.0,Kuurne,8520.0,295000.0,HOUSE,HOUSE,Regular,5.0,224.0,0.0,0.0,0.0,0.0,0.0,1064.0,3.0,0.0,AS_NEW,0.0
20663657.0,Lokeren,9160.0,549000.0,HOUSE,HOUSE,Regular,3.0,228.0,0.0,0.0,0.0,15.0,0.0,841.0,4.0,0.0,AS_NEW,0.0
20663656.0,Oostakker,9041.0,249000.0,HOUSE,HOUSE,Regular,3.0,128.0,0.0,0.0,0.0,0.0,1.0,355.0,3.0,0.0,TO_RENOVATE,0.0
20663653.0,Lubbeek,3210.0,538000.0,HOUSE,HOUSE,Regular,4.0,161.0,0.0,0.0,0.0,0.0,0.0,587.0,3.0,0.0,AS_NEW,0.0
20663642.0,Zellik,1731.0,649000.0,HOUSE,HOUSE,Regular,3.0,221.0,1.0,0.0,0.0,0.0,0.0,1285.0,4.0,0.0,GOOD,0.0
20663641.0,Berlare,9290.0,345000.0,HOUSE,HOUSE,Regular,3.0,178.0,1.0,0.0,0.0,0.0,0.0,591.0,4.0,0.0,GOOD,0.0
20663636.0,Gentbrugge,9050.0,374500.0,HOUSE,HOUSE,Regular,4.0,152.0,0.0,0.0,0.0,18.0,1.0,102.0,,0.0,TO_BE_DONE_UP,0.0
20663627.0,Liège,4020.0,229000.0,HOUSE,HOUSE,Regular,4.0,162.0,0.0,0.0,0.0,30.0,1.0,355.0,3.0,0.0,,0.0
20663628.0,Blegny,4670.0,299000.0,HOUSE,HOUSE,Regular,3.0,120.0,1.0,0.0,0.0,0.0,1.0,290.0,4.0,0.0,AS_NEW,0.0
20663626.0,Beyne-Heusay,4610.0,399000.0,HOUSE,HOUSE,Regular,4.0,200.0,1.0,0.0,0.0,90.0,1.0,732.0,4.0,1.0,AS_NEW,0.0
20663625.0,Vlijtingen,3770.0,235000.0,HOUSE,HOUSE,Regular,3.0,126.0,1.0,0.0,0.0,0.0,0.0,186.0,,0.0,GOOD,0.0
20663624.0,Saint-Josse-ten-Noode,1210.0,245000.0,HOUSE,MIXED_USE_BUILDING,Regular,4.0,107.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,TO_BE_DONE_UP,0.0
20663616.0,Steenokkerzeel,1820.0,389000.0,HOUSE,HOUSE,Regular,3.0,124.0,0.0,0.0,0.0,0.0,1.0,225.0,2.0,0.0,JUST_RENOVATED,0.0
20663615.0,Oostende,8400.0,289000.0,HOUSE,HOUSE,Regular,3.0,144.0,0.0,0.0,0.0,0.0,0.0,134.0,,0.0,JUST_RENOVATED,0.0
20659546.0,Geraardsbergen,9500.0,590000.0,HOUSE,HOUSE,Regular,5.0,431.0,1.0,0.0,0.0,96.0,1.0,4390.0,3.0,0.0,GOOD,0.0
20659545.0,Geraardsbergen,9506.0,575000.0,HOUSE,MIXED_USE_BUILDING,Regular,3.0,363.0,1.0,0.0,0.0,0.0,0.0,529.0,3.0,0.0,GOOD,0.0
20659544.0,Geraardsbergen,9500.0,365000.0,HOUSE,HOUSE,Regular,3.0,139.0,1.0,0.0,0.0,30.0,1.0,460.0,3.0,0.0,AS_NEW,0.0
20659229.0,Ninove,9400.0,395000.0,HOUSE,HOUSE,Regular,3.0,315.0,1.0,1.0,0.0,20.0,1.0,1875.0,3.0,0.0,GOOD,0.0
20659228.0,Mere,9420.0,299000.0,HOUSE,HOUSE,Regular,3.0,250.0,1.0,0.0,0.0,17.0,1.0,322.0,,0.0,TO_RENOVATE,0.0
20659156.0,Zottegem,9620.0,209000.0,HOUSE,HOUSE,Regular,4.0,157.0,0.0,0.0,0.0,0.0,0.0,178.0,,0.0,TO_RENOVATE,0.0
20659133.0,Erpe-Mere,9420.0,299000.0,HOUSE,HOUSE,Regular,3.0,250.0,1.0,0.0,0.0,17.0,1.0,322.0,,0.0,TO_RENOVATE,0.0
20659038.0,Aalst,9320.0,270000.0,HOUSE,HOUSE,Regular,3.0,138.0,0.0,0.0,0.0,0.0,0.0,254.0,3.0,0.0,GOOD,0.0
20659011.0,Haaltert,9451.0,379000.0,HOUSE,TOWN_HOUSE,Regular,3.0,200.0,1.0,0.0,0.0,60.0,1.0,340.0,2.0,0.0,GOOD,0.0
20658994.0,Geraardsbergen,9500.0,449000.0,HOUSE,TOWN_HOUSE,Regular,3.0,230.0,1.0,0.0,0.0,15.0,0.0,500.0,2.0,0.0,,0.0
10358411.0,Herzele,9550.0,453929.0,HOUSE,HOUSE,Regular,3.0,144.0,0.0,0.0,0.0,0.0,0.0,500.0,3.0,0.0,,0.0
20658576.0,Haaltert,9450.0,249000.0,HOUSE,HOUSE,Regular,4.0,163.0,1.0,0.0,0.0,0.0,0.0,127.0,2.0,0.0,JUST_RENOVATED,0.0
